r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 3,Yves Lavigne,Decision - Unanimous,Sal D'amato 28-29.,Tony Weeks 28-29.,Jason Rodgers 28-29.,Randa Markos ,0,9 of 22,0,0 of 7,0%,1:08,8 of 21,8 of 21,0 of 0,0 of 0,8 of 21,0 of 0,Nina Nunes ,0,21 of 52,0,0 of 0,---,0:33,19 of 49,11 of 39,2 of 4,6 of 6,15 of 42,0 of 0
Round 1,Leon Roberts,Decision - Unanimous,Ben Cartlidge 27-30.,Pawel Harasim 27-30.,Howard Hughes 27-30.,Glover Teixeira ,0,10 of 18,0,0 of 0,---,0:17,10 of 18,7 of 14,3 of 4,0 of 0,10 of 18,0 of 0,Corey Anderson ,0,20 of 46,0,3 of 9,33%,1:56,13 of 38,8 of 32,5 of 6,0 of 0,12 of 28,1 of 10
Round 2,Leon Roberts,Decision - Unanimous,Ben Cartlidge 27-30.,Pawel Harasim 27-30.,Howard Hughes 27-30.,Glover Teixeira ,0,7 of 21,0,0 of 2,0%,0:16,5 of 18,3 of 15,2 of 3,0 of 0,4 of 16,1 of 2,Corey Anderson ,0,47 of 63,0,2 of 3,66%,2:23,26 of 40,25 of 39,1 of 1,0 of 0,11 of 24,3 of 4
Round 3,Leon Roberts,Decision - Unanimous,Ben Cartlidge 27-30.,Pawel Harasim 27-30.,Howard Hughes 27-30.,Glover Teixeira ,0,10 of 15,0,0 of 2,0%,0:07,5 of 10,5 of 10,0 of 0,0 of 0,3 of 8,0 of 0,Corey Anderson ,0,21 of 31,0,2 of 7,28%,3:09,9 of 19,6 of 16,2 of 2,1 of 1,8 of 17,1 of 2
Round 1,Kevin Sataki,Decision - Unanimous,Andreas Gruner 27-30.,Takeo Kobayashi 27-30.,David Lethaby 28-29.,Vitor Miranda ,0,19 of 32,0,1 of 1,100%,1:31,7 of 20,3 of 15,1 of 1,3 of 4,5 of 18,1 of 1,Abu Azaitar ,0,48 of 91,0,0 of 0,---,0:04,25 of 66,14 of 51,7 of 11,4 of 4,20 of 58,5 of 8
Round 2,Kevin Sataki,Decision - Unanimous,Andreas Gruner 27-30.,Takeo Kobayashi 27-30.,David Lethaby 28-29.,Vitor Miranda ,0,16 of 25,0,2 of 3,66%,1:09,10 of 18,6 of 11,1 of 4,3 of 3,7 of 15,2 of 2,Abu Azaitar ,0,37 of 76,0,0 of 0,---,1:21,15 of 50,12 of 47,3 of 3,0 of 0,9 of 43,0 of 0
Round 3,Kevin Sataki,Decision - Unanimous,Andreas Gruner 27-30.,Takeo Kobayashi 27-30.,David Lethaby 28-29.,Vitor Miranda ,0,28 of 34,0,0 of 0,---,2:17,2 of 7,1 of 6,1 of 1,0 of 0,0 of 1,0 of 0,Abu Azaitar ,0,50 of 59,0,1 of 1,100%,1:53,8 of 12,7 of 11,1 of 1,0 of 0,1 of 3,0 of 0
Round 1,Marc Goddard,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 27-30.,Pawel Harasim 28-29.,Marcin Tybura ,0,25 of 44,0,2 of 2,100%,2:27,12 of 25,5 of 16,2 of 3,5 of 6,7 of 19,0 of 0,Stefan Struve ,0,13 of 28,0,0 of 0,---,0:00,11 of 25,6 of 19,0 of 1,5 of 5,10 of 23,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 27-30.,Pawel Harasim 28-29.,Marcin Tybura ,0,24 of 30,0,2 of 3,66%,3:14,14 of 19,3 of 8,8 of 8,3 of 3,6 of 10,0 of 0,Stefan Struve ,0,10 of 26,0,0 of 0,---,0:05,10 of 26,10 of 25,0 of 0,0 of 1,7 of 23,3 of 3
Round 3,Marc Goddard,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 27-30.,Pawel Harasim 28-29.,Marcin Tybura ,0,38 of 49,0,1 of 2,50%,2:02,15 of 24,9 of 13,0 of 3,6 of 8,6 of 13,0 of 0,Stefan Struve ,0,10 of 27,0,0 of 0,---,0:00,10 of 27,4 of 20,3 of 4,3 of 3,10 of 27,0 of 0
Round 1,Leon Roberts,Decision - Split,Takeo Kobayashi 30-27.,Ben Cartlidge 28-29.,Howard Hughes 28-29.,Danny Roberts ,0,21 of 42,0,0 of 0,---,3:29,19 of 40,12 of 33,5 of 5,2 of 2,7 of 22,1 of 1,David Zawada ,0,26 of 37,0,0 of 2,0%,0:02,14 of 24,7 of 17,5 of 5,2 of 2,7 of 17,6 of 6
Round 2,Leon Roberts,Decision - Split,Takeo Kobayashi 30-27.,Ben Cartlidge 28-29.,Howard Hughes 28-29.,Danny Roberts ,0,16 of 27,0,0 of 1,0%,2:30,5 of 12,5 of 12,0 of 0,0 of 0,2 of 9,0 of 0,David Zawada ,0,20 of 37,0,2 of 2,100%,1:45,8 of 21,7 of 19,1 of 2,0 of 0,3 of 16,1 of 1
Round 3,Leon Roberts,Decision - Split,Takeo Kobayashi 30-27.,Ben Cartlidge 28-29.,Howard Hughes 28-29.,Danny Roberts ,0,31 of 48,0,0 of 1,0%,2:47,21 of 35,15 of 28,1 of 1,5 of 6,5 of 14,0 of 0,David Zawada ,0,17 of 25,0,0 of 1,0%,0:55,11 of 19,7 of 15,4 of 4,0 of 0,8 of 15,3 of 4
Round 1,Tomasz Bronder,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 27-30.,David Lethaby 26-30.,Nasrat Haqparast ,0,24 of 52,0,0 of 1,0%,0:06,24 of 52,18 of 44,4 of 6,2 of 2,18 of 45,6 of 7,Marc Diakiese ,0,15 of 47,0,0 of 1,0%,0:00,15 of 47,8 of 38,6 of 8,1 of 1,15 of 47,0 of 0
Round 2,Tomasz Bronder,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 27-30.,David Lethaby 26-30.,Nasrat Haqparast ,1,38 of 76,1,0 of 0,---,0:10,31 of 69,29 of 66,1 of 2,1 of 1,28 of 62,0 of 0,Marc Diakiese ,0,18 of 92,0,0 of 0,---,0:00,18 of 92,10 of 82,7 of 9,1 of 1,18 of 92,0 of 0
Round 3,Tomasz Bronder,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 27-30.,David Lethaby 26-30.,Nasrat Haqparast ,0,40 of 80,0,0 of 1,0%,0:18,38 of 77,32 of 70,2 of 3,4 of 4,29 of 63,4 of 4,Marc Diakiese ,0,17 of 81,0,0 of 3,0%,0:00,17 of 81,10 of 74,7 of 7,0 of 0,16 of 79,1 of 2
Round 1,Rich Mitchell,Decision - Split,Ben Cartlidge 28-29.,Howard Hughes 29-28.,Pawel Harasim 28-29.,Nick Hein ,0,6 of 46,0,0 of 0,---,0:00,6 of 46,4 of 41,2 of 5,0 of 0,6 of 46,0 of 0,Damir Hadzovic ,0,12 of 37,0,0 of 0,---,0:00,12 of 37,7 of 29,2 of 5,3 of 3,12 of 37,0 of 0
Round 2,Rich Mitchell,Decision - Split,Ben Cartlidge 28-29.,Howard Hughes 29-28.,Pawel Harasim 28-29.,Nick Hein ,0,25 of 95,0,0 of 0,---,0:00,25 of 95,19 of 89,5 of 5,1 of 1,25 of 95,0 of 0,Damir Hadzovic ,0,30 of 56,0,0 of 0,---,0:00,30 of 56,17 of 42,7 of 8,6 of 6,30 of 56,0 of 0
Round 3,Rich Mitchell,Decision - Split,Ben Cartlidge 28-29.,Howard Hughes 29-28.,Pawel Harasim 28-29.,Nick Hein ,0,12 of 57,0,0 of 0,---,0:00,12 of 57,9 of 52,1 of 2,2 of 3,12 of 57,0 of 0,Damir Hadzovic ,1,29 of 62,1,0 of 0,---,0:07,29 of 62,24 of 56,3 of 4,2 of 2,26 of 59,2 of 2
Round 1,Kevin Sataki,Decision - Unanimous,Mark Collett 27-30.,Takeo Kobayashi 28-29.,David Lethaby 28-29.,Emil Meek ,0,29 of 32,0,0 of 0,---,0:00,3 of 5,3 of 4,0 of 1,0 of 0,1 of 3,0 of 0,Bartosz Fabinski ,0,18 of 24,0,2 of 2,100%,4:57,9 of 12,5 of 8,1 of 1,3 of 3,0 of 1,0 of 0
Round 2,Kevin Sataki,Decision - Unanimous,Mark Collett 27-30.,Takeo Kobayashi 28-29.,David Lethaby 28-29.,Emil Meek ,0,20 of 33,0,0 of 0,---,0:03,8 of 21,8 of 21,0 of 0,0 of 0,3 of 16,3 of 3,Bartosz Fabinski ,0,25 of 34,0,3 of 4,75%,4:32,8 of 14,7 of 12,1 of 2,0 of 0,1 of 3,1 of 2
Round 3,Kevin Sataki,Decision - Unanimous,Mark Collett 27-30.,Takeo Kobayashi 28-29.,David Lethaby 28-29.,Emil Meek ,0,20 of 50,0,0 of 0,---,0:10,10 of 39,9 of 35,1 of 4,0 of 0,10 of 37,0 of 2,Bartosz Fabinski ,0,29 of 33,0,1 of 3,33%,3:35,18 of 22,16 of 20,2 of 2,0 of 0,11 of 15,2 of 2
Round 1,Marc Goddard,Decision - Unanimous,Ben Cartlidge 27-30.,Andreas Gruner 27-30.,Pawel Harasim 27-30.,Khalid Taha ,0,18 of 24,0,0 of 0,---,0:11,11 of 17,6 of 12,1 of 1,4 of 4,8 of 13,3 of 4,Nad Narimani ,0,16 of 33,0,2 of 4,50%,3:03,12 of 26,7 of 17,3 of 7,2 of 2,5 of 17,0 of 1
Round 2,Marc Goddard,Decision - Unanimous,Ben Cartlidge 27-30.,Andreas Gruner 27-30.,Pawel Harasim 27-30.,Khalid Taha ,0,23 of 35,0,0 of 0,---,0:00,15 of 26,12 of 19,2 of 4,1 of 3,10 of 19,3 of 5,Nad Narimani ,0,37 of 48,0,1 of 4,25%,3:22,26 of 34,24 of 31,1 of 2,1 of 1,7 of 12,5 of 6
Round 3,Marc Goddard,Decision - Unanimous,Ben Cartlidge 27-30.,Andreas Gruner 27-30.,Pawel Harasim 27-30.,Khalid Taha ,0,18 of 32,0,0 of 0,---,0:24,6 of 14,6 of 13,0 of 1,0 of 0,3 of 9,1 of 2,Nad Narimani ,0,14 of 16,0,3 of 3,100%,3:40,7 of 9,6 of 8,1 of 1,0 of 0,2 of 3,0 of 0
Round 1,Leon Roberts,Decision - Unanimous,David Lethaby 25-30.,Howard Hughes 24-30.,Takeo Kobayashi 24-30.,Justin Ledet ,0,14 of 16,0,0 of 1,0%,0:00,1 of 3,1 of 1,0 of 0,0 of 2,1 of 3,0 of 0,Aleksandar Rakic ,0,66 of 79,0,1 of 1,100%,4:06,30 of 42,24 of 34,1 of 1,5 of 7,7 of 10,0 of 0
Round 2,Leon Roberts,Decision - Unanimous,David Lethaby 25-30.,Howard Hughes 24-30.,Takeo Kobayashi 24-30.,Justin Ledet ,0,7 of 17,0,0 of 0,---,0:00,7 of 17,7 of 17,0 of 0,0 of 0,7 of 17,0 of 0,Aleksandar Rakic ,0,115 of 141,0,0 of 0,---,3:34,50 of 70,44 of 61,1 of 1,5 of 8,14 of 26,0 of 0
Round 3,Leon Roberts,Decision - Unanimous,David Lethaby 25-30.,Howard Hughes 24-30.,Takeo Kobayashi 24-30.,Justin Ledet ,0,7 of 9,0,0 of 0,---,0:00,4 of 6,4 of 6,0 of 0,0 of 0,4 of 6,0 of 0,Aleksandar Rakic ,1,82 of 97,1,2 of 3,66%,4:40,24 of 32,20 of 27,3 of 3,1 of 2,3 of 6,2 of 4
Round 1,Kevin Sataki,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 28-29.,David Lethaby 28-29.,Damian Stasiak ,0,11 of 16,0,1 of 1,100%,2:26,7 of 12,2 of 5,2 of 2,3 of 5,4 of 9,1 of 1,Pingyuan Liu ,0,19 of 28,0,1 of 1,100%,1:06,7 of 16,4 of 13,3 of 3,0 of 0,4 of 13,3 of 3
Round 2,Kevin Sataki,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 28-29.,David Lethaby 28-29.,Damian Stasiak ,0,9 of 15,0,1 of 3,33%,3:05,7 of 13,4 of 9,1 of 2,2 of 2,3 of 7,0 of 0,Pingyuan Liu ,0,16 of 36,0,0 of 0,---,0:13,5 of 23,3 of 20,2 of 3,0 of 0,1 of 17,1 of 2
Round 3,Kevin Sataki,Decision - Unanimous,Mark Collett 27-30.,Andreas Gruner 28-29.,David Lethaby 28-29.,Damian Stasiak ,0,10 of 24,0,1 of 4,25%,0:46,10 of 24,5 of 15,4 of 7,1 of 2,7 of 21,3 of 3,Pingyuan Liu ,0,24 of 42,0,0 of 0,---,0:41,20 of 38,14 of 31,3 of 4,3 of 3,13 of 28,1 of 2
Round 1,Herb Dean,Decision - Unanimous,Dave Hagen 45-50.,Tim Turner 45-50.,Tony Weeks 45-50.,Junior Dos Santos ,0,8 of 28,0,0 of 0,---,0:00,8 of 28,2 of 11,5 of 16,1 of 1,8 of 28,0 of 0,Blagoy Ivanov ,0,5 of 26,0,0 of 0,---,0:00,5 of 26,4 of 23,1 of 3,0 of 0,5 of 26,0 of 0
Round 2,Herb Dean,Decision - Unanimous,Dave Hagen 45-50.,Tim Turner 45-50.,Tony Weeks 45-50.,Junior Dos Santos ,0,26 of 48,0,0 of 0,---,0:00,26 of 48,16 of 30,9 of 17,1 of 1,26 of 48,0 of 0,Blagoy Ivanov ,0,6 of 38,0,0 of 0,---,0:00,6 of 38,3 of 35,2 of 2,1 of 1,6 of 38,0 of 0
Round 3,Herb Dean,Decision - Unanimous,Dave Hagen 45-50.,Tim Turner 45-50.,Tony Weeks 45-50.,Junior Dos Santos ,0,19 of 48,0,0 of 0,---,0:00,19 of 48,16 of 38,3 of 10,0 of 0,19 of 48,0 of 0,Blagoy Ivanov ,0,8 of 45,0,0 of 0,---,0:01,8 of 45,6 of 40,2 of 5,0 of 0,8 of 45,0 of 0
Round 4,Herb Dean,Decision - Unanimous,Dave Hagen 45-50.,Tim Turner 45-50.,Tony Weeks 45-50.,Junior Dos Santos ,0,20 of 57,0,0 of 1,0%,0:00,20 of 57,12 of 43,8 of 14,0 of 0,20 of 57,0 of 0,Blagoy Ivanov ,0,15 of 59,0,0 of 0,---,0:00,15 of 59,13 of 57,2 of 2,0 of 0,15 of 59,0 of 0
Round 5,Herb Dean,Decision - Unanimous,Dave Hagen 45-50.,Tim Turner 45-50.,Tony Weeks 45-50.,Junior Dos Santos ,0,37 of 67,0,0 of 0,---,0:00,37 of 67,20 of 48,16 of 18,1 of 1,37 of 67,0 of 0,Blagoy Ivanov ,0,17 of 61,0,0 of 0,---,0:02,17 of 61,14 of 58,3 of 3,0 of 0,15 of 59,2 of 2
Round 1,Tom Supnet,Decision - Split,Tim Turner 29-28.,Mike Mikkelsen 27-30.,Tony Weeks 28-29.,Dennis Bermudez ,0,17 of 54,0,0 of 4,0%,0:00,17 of 54,8 of 40,7 of 11,2 of 3,16 of 53,1 of 1,Ricky Glenn ,0,23 of 67,0,0 of 0,---,0:02,23 of 67,14 of 53,7 of 11,2 of 3,23 of 66,0 of 1
Round 2,Tom Supnet,Decision - Split,Tim Turner 29-28.,Mike Mikkelsen 27-30.,Tony Weeks 28-29.,Dennis Bermudez ,0,14 of 38,0,4 of 4,100%,1:34,11 of 33,5 of 25,4 of 6,2 of 2,8 of 26,0 of 0,Ricky Glenn ,0,20 of 54,0,0 of 0,---,0:00,17 of 48,13 of 40,3 of 4,1 of 4,13 of 42,1 of 2
Round 3,Tom Supnet,Decision - Split,Tim Turner 29-28.,Mike Mikkelsen 27-30.,Tony Weeks 28-29.,Dennis Bermudez ,0,25 of 40,0,2 of 6,33%,2:44,14 of 27,12 of 22,2 of 5,0 of 0,5 of 16,4 of 4,Ricky Glenn ,0,16 of 30,0,0 of 0,---,0:32,8 of 22,5 of 17,3 of 5,0 of 0,5 of 18,1 of 2
Round 1,Rulon Day,Decision - Unanimous,Dave Hagen 27-30.,Tim Turner 27-30.,Tony Weeks 26-30.,Cat Zingano ,0,20 of 30,0,2 of 4,50%,1:13,14 of 24,2 of 8,7 of 8,5 of 8,6 of 15,6 of 6,Marion Reneau ,0,16 of 30,0,0 of 0,---,1:16,9 of 23,6 of 19,3 of 4,0 of 0,3 of 17,6 of 6
Round 2,Rulon Day,Decision - Unanimous,Dave Hagen 27-30.,Tim Turner 27-30.,Tony Weeks 26-30.,Cat Zingano ,0,29 of 41,0,3 of 5,60%,3:05,10 of 19,4 of 11,3 of 5,3 of 3,4 of 6,2 of 3,Marion Reneau ,0,11 of 21,0,0 of 0,---,0:00,4 of 13,4 of 13,0 of 0,0 of 0,4 of 13,0 of 0
Round 3,Rulon Day,Decision - Unanimous,Dave Hagen 27-30.,Tim Turner 27-30.,Tony Weeks 26-30.,Cat Zingano ,0,45 of 52,0,1 of 1,100%,4:36,9 of 14,8 of 13,0 of 0,1 of 1,2 of 2,0 of 0,Marion Reneau ,0,8 of 11,0,0 of 0,---,0:00,1 of 3,0 of 2,0 of 0,1 of 1,1 of 3,0 of 0
Round 1,Tom Supnet,Decision - Unanimous,Dave Hagen 28-29.,Tony Weeks 28-29.,Mike Mikkelsen 28-29.,Eddie Wineland ,0,22 of 65,0,0 of 0,---,0:03,22 of 65,10 of 47,9 of 15,3 of 3,22 of 65,0 of 0,Alejandro Perez ,0,22 of 74,0,0 of 1,0%,0:03,22 of 74,17 of 68,2 of 3,3 of 3,21 of 72,1 of 2
Round 2,Tom Supnet,Decision - Unanimous,Dave Hagen 28-29.,Tony Weeks 28-29.,Mike Mikkelsen 28-29.,Eddie Wineland ,0,10 of 58,0,0 of 0,---,0:04,10 of 58,5 of 46,3 of 10,2 of 2,10 of 57,0 of 0,Alejandro Perez ,0,13 of 70,0,0 of 0,---,0:00,13 of 70,10 of 66,1 of 2,2 of 2,13 of 70,0 of 0
Round 3,Tom Supnet,Decision - Unanimous,Dave Hagen 28-29.,Tony Weeks 28-29.,Mike Mikkelsen 28-29.,Eddie Wineland ,0,16 of 60,0,0 of 0,---,0:00,16 of 60,8 of 42,8 of 18,0 of 0,15 of 59,1 of 1,Alejandro Perez ,0,18 of 70,0,0 of 1,0%,0:00,18 of 70,13 of 63,1 of 2,4 of 5,18 of 70,0 of 0
Round 1,Jason Herzog,Decision - Unanimous,Tim Turner 27-30.,Marcos Rosales 28-29.,Scott Marker 28-29.,Darren Elkins ,0,24 of 47,0,1 of 3,33%,0:46,22 of 44,17 of 38,4 of 5,1 of 1,19 of 39,3 of 5,Alexander Volkanovski ,2,32 of 43,2,0 of 2,0%,1:10,32 of 43,22 of 32,5 of 6,5 of 5,22 of 32,9 of 10
Round 2,Jason Herzog,Decision - Unanimous,Tim Turner 27-30.,Marcos Rosales 28-29.,Scott Marker 28-29.,Darren Elkins ,0,35 of 67,0,0 of 0,---,0:00,32 of 64,25 of 52,7 of 12,0 of 0,28 of 57,4 of 7,Alexander Volkanovski ,0,27 of 41,0,0 of 4,0%,0:45,26 of 40,18 of 31,4 of 5,4 of 4,24 of 35,2 of 5
Round 3,Jason Herzog,Decision - Unanimous,Tim Turner 27-30.,Marcos Rosales 28-29.,Scott Marker 28-29.,Darren Elkins ,0,34 of 70,0,0 of 3,0%,0:13,28 of 64,24 of 57,4 of 7,0 of 0,20 of 52,8 of 12,Alexander Volkanovski ,0,44 of 63,0,2 of 6,33%,1:32,42 of 61,36 of 55,2 of 2,4 of 4,35 of 51,7 of 10
Round 1,Rulon Day,Decision - Split,Marcos Rosales 28-29.,Mike Mikkelsen 29-28.,Dave Hagen 28-29.,Justin Scoggins ,0,8 of 32,0,0 of 0,---,0:00,8 of 32,4 of 22,0 of 5,4 of 5,8 of 31,0 of 0,Said Nurmagomedov ,0,21 of 36,0,0 of 3,0%,0:18,21 of 36,10 of 23,5 of 7,6 of 6,13 of 27,8 of 9
Round 2,Rulon Day,Decision - Split,Marcos Rosales 28-29.,Mike Mikkelsen 29-28.,Dave Hagen 28-29.,Justin Scoggins ,0,14 of 31,0,0 of 1,0%,0:00,14 of 31,11 of 27,1 of 2,2 of 2,12 of 29,1 of 1,Said Nurmagomedov ,0,22 of 45,0,0 of 3,0%,0:00,20 of 43,11 of 32,7 of 7,2 of 4,16 of 39,4 of 4
Round 3,Rulon Day,Decision - Split,Marcos Rosales 28-29.,Mike Mikkelsen 29-28.,Dave Hagen 28-29.,Justin Scoggins ,0,10 of 24,0,0 of 0,---,0:00,10 of 24,3 of 13,3 of 7,4 of 4,9 of 23,1 of 1,Said Nurmagomedov ,0,43 of 53,0,1 of 5,20%,1:42,24 of 34,19 of 28,1 of 2,4 of 4,16 of 25,2 of 2
Round 1,Tom Supnet,Decision - Unanimous,Marcos Rosales 27-30.,Scott Marker 27-30.,Dave Hagen 28-29.,Liz Carmouche ,0,47 of 54,0,1 of 2,50%,0:39,19 of 26,14 of 21,3 of 3,2 of 2,10 of 17,2 of 2,Jennifer Maia ,0,18 of 39,0,0 of 0,---,1:26,17 of 37,7 of 23,5 of 9,5 of 5,11 of 27,6 of 10
Round 2,Tom Supnet,Decision - Unanimous,Marcos Rosales 27-30.,Scott Marker 27-30.,Dave Hagen 28-29.,Liz Carmouche ,0,38 of 52,0,1 of 1,100%,0:51,20 of 33,10 of 23,6 of 6,4 of 4,13 of 26,1 of 1,Jennifer Maia ,0,22 of 49,0,0 of 0,---,1:03,17 of 44,7 of 29,9 of 14,1 of 1,13 of 38,4 of 6
Round 3,Tom Supnet,Decision - Unanimous,Marcos Rosales 27-30.,Scott Marker 27-30.,Dave Hagen 28-29.,Liz Carmouche ,0,24 of 29,0,1 of 1,100%,3:51,14 of 19,8 of 13,3 of 3,3 of 3,8 of 12,0 of 0,Jennifer Maia ,0,15 of 30,0,0 of 0,---,0:00,8 of 23,5 of 20,0 of 0,3 of 3,6 of 21,0 of 0
Round 1,Herb Dean,Decision - Unanimous,27-30.,28-29.,28-29.,Jessica Aguilar ,0,40 of 50,0,0 of 2,0%,1:13,34 of 44,13 of 21,15 of 17,6 of 6,14 of 23,20 of 21,Jodie Esquibel ,0,14 of 43,0,0 of 0,---,0:58,14 of 43,9 of 33,5 of 10,0 of 0,11 of 39,3 of 4
Round 2,Herb Dean,Decision - Unanimous,27-30.,28-29.,28-29.,Jessica Aguilar ,0,39 of 70,0,0 of 1,0%,0:00,37 of 68,28 of 57,9 of 11,0 of 0,29 of 59,8 of 9,Jodie Esquibel ,0,29 of 69,0,0 of 1,0%,0:09,29 of 69,18 of 55,11 of 14,0 of 0,28 of 67,1 of 2
Round 3,Herb Dean,Decision - Unanimous,27-30.,28-29.,28-29.,Jessica Aguilar ,0,59 of 89,0,0 of 3,0%,0:21,57 of 87,42 of 72,8 of 8,7 of 7,42 of 69,15 of 18,Jodie Esquibel ,0,38 of 78,0,0 of 1,0%,0:20,38 of 78,27 of 64,11 of 14,0 of 0,34 of 72,4 of 6
Round 1,Herb Dean,Decision - Unanimous,Derek Cleary 28-29.,Junichiro Kamijo 28-29.,Sal D'amato 27-30.,Francis Ngannou ,0,1 of 7,0,0 of 0,---,0:00,1 of 7,1 of 6,0 of 1,0 of 0,1 of 7,0 of 0,Derrick Lewis ,0,5 of 15,0,0 of 0,---,0:00,5 of 15,1 of 9,3 of 5,1 of 1,5 of 15,0 of 0
Round 2,Herb Dean,Decision - Unanimous,Derek Cleary 28-29.,Junichiro Kamijo 28-29.,Sal D'amato 27-30.,Francis Ngannou ,0,6 of 18,0,0 of 0,---,0:00,6 of 18,5 of 17,1 of 1,0 of 0,5 of 16,1 of 2,Derrick Lewis ,0,4 of 15,0,0 of 1,0%,0:00,4 of 15,0 of 9,3 of 5,1 of 1,4 of 15,0 of 0
Round 3,Herb Dean,Decision - Unanimous,Derek Cleary 28-29.,Junichiro Kamijo 28-29.,Sal D'amato 27-30.,Francis Ngannou ,0,4 of 21,0,0 of 0,---,0:00,4 of 21,1 of 16,2 of 4,1 of 1,3 of 20,1 of 1,Derrick Lewis ,0,11 of 24,0,0 of 1,0%,0:01,11 of 24,0 of 8,5 of 8,6 of 8,9 of 22,2 of 2
Round 1,Marc Goddard,Decision - Split,Mike Bell 28-29.,Dave Hagen 29-28.,Chris Lee 28-29.,Paul Felder ,0,27 of 46,0,0 of 1,0%,0:45,22 of 41,11 of 27,5 of 7,6 of 7,19 of 37,3 of 4,Mike Perry ,0,24 of 45,0,0 of 0,---,0:22,23 of 44,11 of 30,6 of 8,6 of 6,15 of 32,8 of 12
Round 2,Marc Goddard,Decision - Split,Mike Bell 28-29.,Dave Hagen 29-28.,Chris Lee 28-29.,Paul Felder ,0,12 of 34,0,0 of 0,---,0:00,12 of 34,6 of 20,2 of 7,4 of 7,11 of 32,1 of 2,Mike Perry ,0,18 of 23,0,2 of 2,100%,1:42,17 of 22,10 of 15,6 of 6,1 of 1,9 of 14,5 of 5
Round 3,Marc Goddard,Decision - Split,Mike Bell 28-29.,Dave Hagen 29-28.,Chris Lee 28-29.,Paul Felder ,0,25 of 48,0,0 of 0,---,0:00,22 of 45,10 of 32,9 of 10,3 of 3,18 of 41,3 of 3,Mike Perry ,0,24 of 46,0,0 of 1,0%,0:58,22 of 44,13 of 33,3 of 4,6 of 7,18 of 40,4 of 4
Round 1,Marc Goddard,Decision - Unanimous,Mike Bell 27-30.,Dave Hagen 27-30.,Rick Winter 27-30.,Raphael Assuncao ,0,14 of 41,0,0 of 0,---,0:00,14 of 41,7 of 29,1 of 2,6 of 10,13 of 40,1 of 1,Rob Font ,0,10 of 61,0,0 of 0,---,0:00,10 of 61,5 of 47,3 of 7,2 of 7,10 of 61,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Mike Bell 27-30.,Dave Hagen 27-30.,Rick Winter 27-30.,Raphael Assuncao ,0,34 of 55,0,1 of 1,100%,2:16,15 of 34,13 of 29,1 of 2,1 of 3,7 of 24,0 of 0,Rob Font ,0,5 of 25,0,0 of 0,---,0:00,5 of 25,3 of 23,2 of 2,0 of 0,5 of 25,0 of 0
Round 3,Marc Goddard,Decision - Unanimous,Mike Bell 27-30.,Dave Hagen 27-30.,Rick Winter 27-30.,Raphael Assuncao ,0,45 of 65,0,1 of 1,100%,2:16,25 of 45,21 of 40,2 of 3,2 of 2,16 of 31,0 of 0,Rob Font ,0,5 of 36,0,0 of 0,---,0:00,5 of 36,4 of 35,1 of 1,0 of 0,5 of 36,0 of 0
Round 1,Mark Smith,Decision - Unanimous,Sal D'amato 27-30.,Junichiro Kamijo 27-30.,Adalaide Byrd 27-30.,Lando Vannata ,0,20 of 50,0,0 of 2,0%,0:39,19 of 49,8 of 30,5 of 12,6 of 7,13 of 38,6 of 11,Drakkar Klose ,0,28 of 37,0,0 of 1,0%,0:57,21 of 29,9 of 15,5 of 6,7 of 8,10 of 16,11 of 13
Round 2,Mark Smith,Decision - Unanimous,Sal D'amato 27-30.,Junichiro Kamijo 27-30.,Adalaide Byrd 27-30.,Lando Vannata ,0,16 of 50,0,0 of 1,0%,0:00,15 of 49,7 of 31,4 of 11,4 of 7,12 of 46,3 of 3,Drakkar Klose ,0,19 of 41,0,0 of 0,---,0:15,18 of 40,9 of 30,4 of 4,5 of 6,13 of 35,5 of 5
Round 3,Mark Smith,Decision - Unanimous,Sal D'amato 27-30.,Junichiro Kamijo 27-30.,Adalaide Byrd 27-30.,Lando Vannata ,0,30 of 50,0,1 of 1,100%,0:23,16 of 35,3 of 19,6 of 7,7 of 9,12 of 30,4 of 5,Drakkar Klose ,0,26 of 40,0,1 of 3,33%,2:06,16 of 29,11 of 23,0 of 0,5 of 6,13 of 26,3 of 3
