r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 3,Keith Peterson,Decision - Unanimous,Sal D'amato 26-30.,Chris Leben 26-30.,David Lethaby 27-30.,Pat Sabatini ,0,61 of 71,0,1 of 1,100%,4:30,6 of 9,6 of 9,0 of 0,0 of 0,1 of 3,0 of 0,Joanderson Brito ,0,4 of 10,0,0 of 0,---,0:00,0 of 4,0 of 3,0 of 1,0 of 0,0 of 4,0 of 0
Round 1,Mike Beltran,Decision - Unanimous,Sal D'amato 28-29.,Junichiro Kamijo 28-29.,David Lethaby 28-29.,Brad Tavares ,0,14 of 37,0,0 of 0,---,0:00,13 of 36,10 of 30,2 of 5,1 of 1,13 of 36,0 of 0,Gerald Meerschaert ,0,8 of 24,0,0 of 2,0%,0:26,8 of 24,5 of 19,0 of 1,3 of 4,8 of 23,0 of 1
Round 2,Mike Beltran,Decision - Unanimous,Sal D'amato 28-29.,Junichiro Kamijo 28-29.,David Lethaby 28-29.,Brad Tavares ,0,26 of 51,0,0 of 0,---,0:01,26 of 51,15 of 38,7 of 9,4 of 4,24 of 48,2 of 3,Gerald Meerschaert ,0,23 of 45,0,0 of 1,0%,0:47,23 of 44,18 of 35,4 of 6,1 of 3,21 of 42,2 of 2
Round 3,Mike Beltran,Decision - Unanimous,Sal D'amato 28-29.,Junichiro Kamijo 28-29.,David Lethaby 28-29.,Brad Tavares ,0,16 of 30,0,0 of 0,---,0:00,8 of 22,4 of 17,3 of 4,1 of 1,8 of 21,0 of 1,Gerald Meerschaert ,0,20 of 28,0,0 of 5,0%,3:31,7 of 15,4 of 12,3 of 3,0 of 0,7 of 14,0 of 1
Round 1,Mike Beltran,Decision - Split,Tony Weeks 30-27.,Ben Cartlidge 28-29.,Junichiro Kamijo 28-29.,Torrez Finney ,0,7 of 16,0,5 of 8,62%,4:34,0 of 1,0 of 0,0 of 1,0 of 0,0 of 0,0 of 1,Robert Valentin ,0,15 of 22,0,0 of 0,---,0:00,6 of 9,6 of 8,0 of 1,0 of 0,0 of 2,4 of 5
Round 2,Mike Beltran,Decision - Split,Tony Weeks 30-27.,Ben Cartlidge 28-29.,Junichiro Kamijo 28-29.,Torrez Finney ,0,9 of 14,0,1 of 3,33%,4:24,4 of 4,2 of 2,2 of 2,0 of 0,1 of 1,0 of 0,Robert Valentin ,0,13 of 17,0,0 of 0,---,0:16,3 of 6,1 of 3,2 of 3,0 of 0,1 of 4,2 of 2
Round 3,Mike Beltran,Decision - Split,Tony Weeks 30-27.,Ben Cartlidge 28-29.,Junichiro Kamijo 28-29.,Torrez Finney ,0,1 of 5,0,2 of 6,33%,4:18,0 of 3,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,Robert Valentin ,0,65 of 87,0,0 of 0,---,0:00,14 of 24,11 of 21,2 of 2,1 of 1,4 of 13,6 of 7
Round 1,Chris Tognoni,Decision - Unanimous,Eric Colon 27-30.,Sal D'amato 28-29.,Chris Leben 28-29.,Loma Lookboonmee ,0,26 of 59,0,0 of 1,0%,0:00,15 of 47,3 of 23,6 of 15,6 of 9,15 of 47,0 of 0,Istela Nunes ,0,27 of 46,0,0 of 1,0%,1:09,22 of 37,2 of 11,5 of 6,15 of 20,21 of 35,1 of 1
Round 2,Chris Tognoni,Decision - Unanimous,Eric Colon 27-30.,Sal D'amato 28-29.,Chris Leben 28-29.,Loma Lookboonmee ,0,23 of 37,0,1 of 2,50%,0:54,10 of 16,6 of 9,3 of 6,1 of 1,8 of 14,2 of 2,Istela Nunes ,0,14 of 22,0,0 of 0,---,1:34,7 of 14,1 of 7,4 of 5,2 of 2,5 of 12,2 of 2
Round 3,Chris Tognoni,Decision - Unanimous,Eric Colon 27-30.,Sal D'amato 28-29.,Chris Leben 28-29.,Loma Lookboonmee ,0,62 of 74,0,2 of 2,100%,3:40,7 of 13,3 of 9,4 of 4,0 of 0,5 of 9,2 of 2,Istela Nunes ,0,10 of 14,0,0 of 0,---,0:32,7 of 11,4 of 8,2 of 2,1 of 1,7 of 11,0 of 0
Round 1,Keith Peterson,Decision - Unanimous,Ben Cartlidge 28-29.,Junichiro Kamijo 28-29.,Chris Leben 28-29.,Victor Henry ,1,50 of 87,1,1 of 1,100%,1:38,22 of 53,13 of 44,6 of 6,3 of 3,15 of 44,2 of 2,Pedro Falcao ,0,26 of 52,0,0 of 3,0%,0:36,20 of 43,12 of 34,3 of 4,5 of 5,20 of 43,0 of 0
Round 2,Keith Peterson,Decision - Unanimous,Ben Cartlidge 28-29.,Junichiro Kamijo 28-29.,Chris Leben 28-29.,Victor Henry ,0,38 of 70,0,0 of 0,---,0:56,23 of 54,9 of 35,11 of 16,3 of 3,19 of 47,4 of 7,Pedro Falcao ,0,28 of 50,0,3 of 5,60%,1:30,24 of 45,14 of 33,4 of 5,6 of 7,22 of 42,2 of 3
Round 3,Keith Peterson,Decision - Unanimous,Ben Cartlidge 28-29.,Junichiro Kamijo 28-29.,Chris Leben 28-29.,Victor Henry ,0,51 of 70,0,1 of 2,50%,1:36,28 of 44,22 of 36,4 of 5,2 of 3,23 of 36,3 of 5,Pedro Falcao ,0,15 of 31,0,1 of 5,20%,0:52,13 of 29,8 of 24,4 of 4,1 of 1,13 of 29,0 of 0
Round 1,Mike Beltran,Decision - Unanimous,Eric Colon 28-29.,David Lethaby 28-29.,Tony Weeks 28-29.,Martin Buday ,0,41 of 69,0,0 of 0,---,1:10,17 of 39,7 of 26,0 of 0,10 of 13,17 of 39,0 of 0,Uran Satybaldiev ,0,16 of 54,0,0 of 0,---,0:00,14 of 51,6 of 39,2 of 2,6 of 10,13 of 50,1 of 1
Round 2,Mike Beltran,Decision - Unanimous,Eric Colon 28-29.,David Lethaby 28-29.,Tony Weeks 28-29.,Martin Buday ,0,44 of 64,0,0 of 1,0%,1:24,28 of 44,13 of 26,2 of 3,13 of 15,22 of 35,6 of 9,Uran Satybaldiev ,0,13 of 49,0,0 of 0,---,0:00,12 of 47,8 of 43,1 of 1,3 of 3,12 of 47,0 of 0
Round 3,Mike Beltran,Decision - Unanimous,Eric Colon 28-29.,David Lethaby 28-29.,Tony Weeks 28-29.,Martin Buday ,0,57 of 78,0,0 of 0,---,2:32,13 of 24,9 of 20,1 of 1,3 of 3,10 of 19,3 of 5,Uran Satybaldiev ,0,16 of 51,0,0 of 2,0%,0:20,10 of 43,5 of 38,3 of 3,2 of 2,7 of 40,3 of 3
Round 1,Chris Tognoni,Decision - Unanimous,Eric Colon 26-30.,Sal D'amato 27-30.,David Lethaby 27-30.,Vanessa Demopoulos ,0,7 of 10,0,0 of 0,---,0:02,4 of 7,4 of 7,0 of 0,0 of 0,4 of 7,0 of 0,Talita Alencar ,0,19 of 31,0,1 of 1,100%,4:25,9 of 17,7 of 15,1 of 1,1 of 1,3 of 11,1 of 1
